player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot
3625,Sofiane Boufal,Morocco,0,27,2,2,22,0,1,1,2,5,0,5,4,0,1,3,0,0,18,24,0,1
3634,Abdelhamid Sabiri,Morocco,0,25,3,1,20,1,1,0,1,0,0,0,1,0,2,0,0,0,26,12,0,2
5219,Romain Saïss,Morocco,1,28,3,0,30,5,0,0,0,4,0,0,0,0,1,0,0,0,39,6,0,0
5234,Sofyan Amrabat,Morocco,0,38,4,0,39,3,1,0,1,3,0,3,1,0,2,0,0,0,47,22,0,0
5237,Hakim Ziyech,Morocco,0,34,4,2,36,1,1,4,2,3,0,1,0,0,1,1,0,0,40,18,0,2
5245,Achraf Hakimi Mouh,Morocco,0,44,4,3,42,0,1,0,3,6,0,0,2,0,3,0,0,0,58,7,0,0
6301,Youssef En-Nesyri,Morocco,0,30,4,3,21,3,0,4,0,4,0,1,2,0,0,3,0,0,18,16,0,2
6785,Yassine Bounou,Morocco,0,21,3,0,24,0,0,0,0,0,0,0,0,7,0,0,0,0,36,0,0,0
7459,Jawad El Yamiq,Morocco,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,1,3,0,0
9036,David Wallace Wotherspoon,Canada,0,8,0,1,6,0,0,1,0,1,0,0,1,0,0,0,0,0,6,1,0,0
9922,David Junior Hoilett,Canada,0,30,5,0,26,0,3,4,0,4,0,1,2,0,2,2,0,0,28,11,0,0
11846,Steven de Sousa Vitoria,Canada,0,63,6,2,60,4,1,0,0,2,0,4,3,0,0,0,0,0,79,4,0,0
12149,Nayef Aguerd,Morocco,0,35,2,0,36,6,0,0,0,2,0,0,0,0,2,0,1,1,41,3,0,0
12365,Alphonso Davies,Canada,0,35,1,2,23,0,3,4,0,2,0,0,1,0,1,6,0,0,29,14,0,1
12770,Jonathan Osorio,Canada,0,32,2,0,27,0,1,0,1,0,0,2,1,0,0,0,0,0,29,14,0,0
15890,Noussair Mazraoui,Morocco,0,17,2,1,13,6,0,1,1,4,0,0,1,0,0,1,0,0,22,10,0,0
15958,Milan Borjan,Canada,0,11,4,0,13,0,0,0,0,0,1,0,0,9,0,1,0,0,24,0,0,0
16120,Richie Laryea,Canada,0,10,2,0,10,0,1,2,0,1,0,0,1,0,0,1,0,0,7,3,0,0
16252,Mark Anthony Kaye,Canada,0,57,4,1,45,0,1,0,1,3,0,1,1,0,1,2,0,0,57,13,0,1
16459,Cyle Larin,Canada,0,16,3,0,12,2,2,2,0,0,0,2,0,0,0,1,0,0,11,10,0,0
21736,Zakaria Aboukhlal,Morocco,0,4,1,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,4,6,0,0
23640,Jonathan David,Canada,0,13,2,0,11,0,2,3,0,0,0,0,1,0,0,0,0,0,12,6,0,0
23774,Selim Amallah,Morocco,0,4,1,1,1,0,0,1,1,5,0,0,0,0,0,1,0,0,2,4,0,0
23828,Kamal Miller,Canada,0,77,5,0,70,2,1,1,2,3,0,0,1,0,2,0,0,0,91,7,0,0
24024,Tajon Buchanan,Canada,0,42,1,1,33,0,1,7,1,1,0,3,1,0,2,3,0,0,28,21,0,1
29758,Sam Adekugbe,Canada,0,35,2,1,28,0,0,1,0,0,0,1,0,0,0,1,0,0,37,14,1,0
31684,Atiba Hutchinson,Canada,0,22,4,2,18,2,0,0,0,1,0,0,1,0,1,0,0,0,30,3,0,1
44703,Alistair Johnston,Canada,1,45,7,3,46,2,1,0,1,3,0,2,0,0,1,2,0,0,65,9,0,1
46258,Azzedine Ounahi,Morocco,0,31,5,1,34,0,0,2,2,2,0,1,3,0,1,2,0,0,33,17,0,0
59493,Abderrazak Hamdallah,Morocco,0,8,1,0,3,1,0,0,2,1,0,3,1,0,0,2,0,0,5,4,0,0
102668,Yahya Jabrane,Morocco,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0
133229,Ismael Koné,Canada,0,26,4,0,26,0,0,1,1,0,0,0,1,0,0,0,0,0,29,5,0,0
