country_clean,squad_size,matched_players,unmatched_players,coverage
Algeria,26,13,13,0.5
Argentina,26,20,6,0.7692307692307693
Australia,26,8,18,0.3076923076923077
Austria,26,20,6,0.7692307692307693
Belgium,26,15,11,0.5769230769230769
Bosnia And Herzegovina,26,2,24,0.07692307692307693
Brazil,26,18,8,0.6923076923076923
Cabo Verde,26,15,11,0.5769230769230769
Canada,26,19,7,0.7307692307692307
Colombia,26,20,6,0.7692307692307693
Congo DR,26,17,9,0.6538461538461539
Croatia,26,15,11,0.5769230769230769
Curaçao,26,0,26,0.0
Czechia,26,19,7,0.7307692307692307
Côte D'Ivoire,26,17,9,0.6538461538461539
Ecuador,26,16,10,0.6153846153846154
Egypt,26,12,14,0.46153846153846156
England,26,17,9,0.6538461538461539
France,26,22,4,0.8461538461538461
Germany,26,22,4,0.8461538461538461
Ghana,26,12,14,0.46153846153846156
Haiti,26,3,23,0.11538461538461539
IR Iran,26,12,14,0.46153846153846156
Iraq,26,0,26,0.0
Japan,26,12,14,0.46153846153846156
Jordan,26,0,26,0.0
Korea Republic,26,11,15,0.4230769230769231
Mexico,26,17,9,0.6538461538461539
Morocco,26,9,17,0.34615384615384615
Netherlands,26,16,10,0.6153846153846154
New Zealand,26,0,26,0.0
Norway,26,2,24,0.07692307692307693
Panama,26,17,9,0.6538461538461539
Paraguay,26,12,14,0.46153846153846156
Portugal,26,22,4,0.8461538461538461
Qatar,26,12,14,0.46153846153846156
Saudi Arabia,26,9,17,0.34615384615384615
Scotland,26,15,11,0.5769230769230769
Senegal,26,19,7,0.7307692307692307
South Africa,26,11,15,0.4230769230769231
Spain,26,21,5,0.8076923076923077
Sweden,26,4,22,0.15384615384615385
Switzerland,26,20,6,0.7692307692307693
Tunisia,26,11,15,0.4230769230769231
Türkiye,26,22,4,0.8461538461538461
USA,26,16,10,0.6153846153846154
Uruguay,26,18,8,0.6923076923076923
Uzbekistan,26,0,26,0.0
